Account Number,Account Name,Symbol,Description,Quantity,Last Price,Last Price Change,Current Value,Today's Gain/Loss Dollar,Today's Gain/Loss Percent,Total Gain/Loss Dollar,Total Gain/Loss Percent,Percent Of Account,Cost Basis Total,Average Cost Basis,Type
X41385276,INDIVIDUAL,SPAXX**,HELD IN MONEY MARKET,,,,$645.07,,,,,0.05%,,,Cash
X41385276,INDIVIDUAL,FZDXX,FIDELITY MMKT PREMIUM CLASS,356623.1628,$1.00,$0.00,"$356,623.16",--,--,--,--,29.85%,--,--,Cash
X41385276,INDIVIDUAL,MSFT,MICROSOFT CORP,2101.2139,$398.55,+$5.81,"$837,438.81","+$12,208.05",+1.47%,--,--,70.10%,--,--,Cash
Y39614827,Joint WROS - TOD,FDRXX**,HELD IN MONEY MARKET,,,,"$2,235.59",,,,,0.32%,,,Cash
Y39614827,Joint WROS - TOD,NVDA,NVIDIA CORPORATION COM,304.6814,$182.48,+$5.29,"$55,598.25","+$1,611.76",+2.98%,"+$15,515.94",+38.71%,7.97%,"$40,082.31",$131.55,Cash
Y39614827,Joint WROS - TOD,GOOGL,ALPHABET INC CAP STK CL A,71.9894,$306.52,-$5.24,"$22,066.18",-$377.23,-1.69%,"+$10,019.78",+83.17%,3.16%,"$12,046.40",$167.34,Cash
Y39614827,Joint WROS - TOD,AVGO,BROADCOM INC COM,59.2810,$318.82,-$0.73,"$18,899.96",-$43.28,-0.23%,"+$8,309.46",+78.46%,2.71%,"$10,590.49",$178.65,Cash
Y39614827,Joint WROS - TOD,GOOG,ALPHABET INC CAP STK CL C,58.1542,$306.36,-$5.07,"$17,816.12",-$294.85,-1.63%,"+$8,044.62",+82.32%,2.55%,"$9,771.50",$168.03,Cash
Y39614827,Joint WROS - TOD,AAPL,APPLE INC,187.3964,$264.72,+$0.54,"$49,607.58",+$101.19,+0.20%,"+$7,294.42",+17.23%,7.11%,"$42,313.16",$225.79,Cash
Y39614827,Joint WROS - TOD,JNJ,JOHNSON &JOHNSON COM,41.7582,$248.56,+$0.13,"$10,379.42",+$5.42,+0.05%,"+$4,352.06",+72.20%,1.49%,"$6,027.36",$144.34,Cash
Y39614827,Joint WROS - TOD,AMAT,APPLIED MATERIALS INC COM USD0.01,18.4378,$372.18,-$0.12,"$6,862.18",-$2.21,-0.04%,"+$4,217.92",+159.51%,0.98%,"$2,644.26",$143.42,Cash
Y39614827,Joint WROS - TOD,MU,MICRON TECHNOLOGY INC,12.4694,$412.67,+$0.30,"$5,145.75",+$3.74,+0.07%,"+$3,959.88",+333.92%,0.74%,"$1,185.87",$95.10,Cash
Y39614827,Joint WROS - TOD,CAT,CATERPILLAR INC COM,6.7605,$752.32,+$9.49,"$5,086.08",+$64.16,+1.27%,"+$2,940.15",+137.01%,0.73%,"$2,145.93",$317.42,Cash
Y39614827,Joint WROS - TOD,APH,AMPHENOL CORP CLASS A COM USD0.001,40.4334,$135.16,-$10.90,"$5,464.98",-$440.73,-7.47%,"+$2,833.78",+107.69%,0.78%,"$2,631.20",$65.07,Cash
Y39614827,Joint WROS - TOD,GE,GE AEROSPACE COM NEW,15.7951,$345.74,+$3.48,"$5,460.98",+$54.97,+1.01%,"+$2,739.88",+100.69%,0.78%,"$2,721.10",$172.28,Cash
Y39614827,Joint WROS - TOD,PLTR,PALANTIR TECHNOLOGIES INC CL A,27.6499,$145.17,+$7.98,"$4,013.93",+$220.65,+5.81%,"+$2,717.18",+209.53%,0.58%,"$1,296.75",$46.90,Cash
Y39614827,Joint WROS - TOD,LLY,ELI LILLY &CO COM,9.8130,$1017.97,-$34.02,"$9,989.34",-$333.84,-3.24%,"+$2,562.45",+34.50%,1.43%,"$7,426.90",$756.84,Cash
Y39614827,Joint WROS - TOD,GEV,GE VERNOVA INC COM,4.3090,$881.18,+$7.58,"$3,796.99",+$32.66,+0.86%,"+$2,559.32",+206.78%,0.54%,"$1,237.67",$287.23,Cash
Y39614827,Joint WROS - TOD,WMT,WALMART INC COM,56.8567,$127.10,-$0.85,"$7,226.49",-$48.33,-0.67%,"+$2,505.38",+53.06%,1.04%,"$4,721.11",$83.04,Cash
Y39614827,Joint WROS - TOD,AMD,ADVANCED MICRO DEVICES INC,24.1194,$198.62,-$1.59,"$4,790.59",-$38.35,-0.80%,"+$2,413.26",+101.51%,0.69%,"$2,377.33",$98.57,Cash
Y39614827,Joint WROS - TOD,JPM,JPMORGAN CHASE &CO. COM,32.6213,$297.56,-$2.74,"$9,706.78",-$89.38,-0.92%,"+$2,375.33",+32.39%,1.39%,"$7,331.45",$224.74,Cash
